ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Your name,What is the date and time of collection?,Where are you recording the point?,"Are there no crops (fallow or pasture), one crop, or multiple crops growing in the field?",Which crop(s) are present in the field?,Other - Which crop(s) are present in the field?,"[OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?","Other - [OPTIONAL] If you selected multiple crops in the previous question, is there a dominant crop?",[OPTIONAL] Additional notes,x,y
631,c018fe2b-2496-4543-ae83-3d140f08c40a,4/23/2023 5:22:58 AM,,4/23/2023 5:22:58 AM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Papaya,-157.09340625,21.13852097
632,84b74717-5bcd-42d9-bc2d-786d20462926,4/23/2023 5:23:01 AM,,4/23/2023 5:23:01 AM,,Mary,,On the edge of the field,Multiple crops,"tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,"Salad greens, papaya nursery",-157.09424447,21.13759863
633,62d993f7-2f52-42a6-ba69-dd030d2ab783,4/23/2023 5:23:05 AM,,4/23/2023 5:23:05 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09439298,21.13760747
634,a656eed4-ac84-45ad-a9f9-985fea14ec31,4/23/2023 5:23:09 AM,,4/23/2023 5:23:09 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09498023,21.13769537
635,314245d0-3fc1-4479-b866-b09010f44b79,4/23/2023 5:23:12 AM,,4/23/2023 5:23:12 AM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Papaya,-157.0952277,21.1377467
636,f8bfc1a5-d7c9-4372-a4c3-560ee2f40c13,4/23/2023 5:23:15 AM,,4/23/2023 5:23:15 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09572183,21.13782354
637,e43061fe-d82d-4ca0-aa5c-7c7021c0daad,4/23/2023 5:23:19 AM,,4/23/2023 5:23:19 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09577806,21.13789601
638,0f450a09-356b-41ea-afcb-7cd4d5b5747a,4/23/2023 5:23:22 AM,,4/23/2023 5:23:22 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09526114,21.13779916
639,cbe14f80-7912-4331-8f40-ee1698bd144d,4/23/2023 5:23:29 AM,,4/23/2023 5:23:29 AM,,Mary,,On the edge of the field,One crop,`uala_(sweet_potato),,,,Decoite Potato Farm,-157.09371628,21.14043013
640,89993823-30e5-4de3-b6d6-ae80e9c355f2,4/23/2023 5:23:36 AM,,4/23/2023 5:23:36 AM,,Mary,,On the edge of the field,One crop,vegetables_(e.g._leafy_greens_c,,,,Potato,-157.09376959,21.14068931
641,06f2a981-f741-4017-a2ca-a4492e69a965,4/23/2023 5:23:40 AM,,4/23/2023 5:23:40 AM,,Mary,,On the edge of the field,One crop,vegetables_(e.g._leafy_greens_c,,,,Potato,-157.0937918,21.14102523
642,8c9114a7-1958-4345-b486-04b4c1e563d7,4/23/2023 5:23:43 AM,,4/23/2023 5:23:43 AM,,Mary,,On the edge of the field,One crop,vegetables_(e.g._leafy_greens_c,,,,Potato,-157.09381395,21.14130581
643,ac83820e-8683-47c6-a122-7a9574491a4e,4/23/2023 5:23:48 AM,,4/23/2023 5:23:48 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09389782,21.14201014
644,64980db4-1eca-43d2-962a-fc1d769ee00a,4/23/2023 5:23:51 AM,,4/23/2023 5:23:51 AM,,Mary,,On the edge of the field,Fallow,,,,,,-157.09392448,21.14262587
645,e5580336-5459-4a39-a2af-a50fd6ce398b,4/23/2023 5:23:55 AM,,4/23/2023 5:23:55 AM,,Mary,,On the edge of the field,One crop,other,Sorgum,,,,-157.09384729,21.14333576
646,f179cd4d-0ab3-44b0-aec6-012128c427a7,4/23/2023 5:23:59 AM,,4/23/2023 5:23:59 AM,,Mary,,On the edge of the field,One crop,other,Sorgum,,,,-157.09381493,21.14318645
647,cec089bb-50ba-439e-b493-14978de1862d,4/23/2023 5:24:03 AM,,4/23/2023 5:24:03 AM,,Mary,,On the edge of the field,One crop,other,Sorghum,,,,-157.09379426,21.14304216
648,d8207f16-fcef-45c7-9b6e-49eab5b04282,4/23/2023 5:24:06 AM,,4/23/2023 5:24:06 AM,,Mary,,On the edge of the field,One crop,other,Seed corn,,,,-157.09373459,21.14275868
649,274c2f1a-b9e3-4dd4-8992-b95d2ffd79df,4/23/2023 5:24:09 AM,,4/23/2023 5:24:09 AM,,Mary,,Inside the field,One crop,vegetables_(e.g._leafy_greens_c,,,,Cucumber,-157.13147917,21.14462147
650,9abbe75b-35f0-4d61-b9ed-3b7a98f33744,4/23/2023 5:24:13 AM,,4/23/2023 5:24:13 AM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Citrus,-157.13178057,21.14454303
651,7ff81bd6-a16b-4a6b-9c77-9d8eefe4b8bd,4/23/2023 5:24:15 AM,,4/23/2023 5:24:15 AM,,Mary,,Inside the field,One crop,tropical_fruits,,,,Citrus,-157.13179844,21.14450082
652,aabd3874-ffe2-413c-b30a-5d2f01c1824c,4/23/2023 5:24:18 AM,,4/23/2023 5:24:18 AM,,Mary,,Inside the field,One crop,tropical_fruits,,,,Citrus,-157.13196677,21.14439853
653,53364d75-7248-4ce3-a65b-93213c6e3177,4/23/2023 5:24:21 AM,,4/23/2023 5:24:21 AM,,Mary,,Inside the field,One crop,tropical_fruits,,,,Citrus,-157.13187678,21.14448997
654,bdcc3fe0-0731-49fe-bac5-93efa3da0911,4/23/2023 5:24:24 AM,,4/23/2023 5:24:24 AM,,Mary,,Inside the field,One crop,tropical_fruits,,,,Citrus,-157.13191679,21.14445545
655,4294cc60-1348-49dd-ae38-001321ad53a4,4/23/2023 5:24:28 AM,,4/23/2023 5:24:28 AM,,Mary,,Inside the field,One crop,other,,,,Cahew,-157.1316011,21.14434077
656,15d0ba47-3bc3-4e67-b239-4551b597f22e,4/23/2023 5:24:31 AM,,4/23/2023 5:24:31 AM,,Mary,,Inside the field,One crop,tropical_fruits,,,,Mango,-157.13172218,21.14423411
657,a3fc0839-d873-44ee-af41-c6abe152a90d,4/23/2023 5:24:36 AM,,4/23/2023 5:24:36 AM,,Mary,,Inside the field,One crop,sugarcane,,,,,-157.13167456,21.14417699
658,d641596d-f863-41bb-80a7-7842535b4ad4,4/23/2023 5:24:41 AM,,4/23/2023 5:24:41 AM,,Mary,,Inside the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,"Onions, kale",-157.13171419,21.14405571
659,0c11a9a7-175d-451d-902a-d4b354c17e24,4/23/2023 5:24:45 AM,,4/23/2023 5:24:45 AM,,Mary,,On the edge of the field,One crop,other,Tamarind,,,,-157.13176775,21.14394631
660,dd8bc28f-4669-48ea-ac01-cf0f7a40c045,4/23/2023 5:24:49 AM,,4/23/2023 5:24:49 AM,,Mary,,Inside the field,Multiple crops,other,Nursery,,,,-157.1315998,21.14398155
661,b86505b8-a2cb-40ba-b67d-595a4b3fe63d,4/23/2023 5:24:54 AM,,4/23/2023 5:24:54 AM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Citrus,-156.73474712,21.1438299
662,024b2dba-8d76-4ceb-87ca-a2bb4ca94f29,4/23/2023 5:24:57 AM,,4/23/2023 5:24:57 AM,,Mary,,On the edge of the field,Multiple crops,tropical_fruits,,,,Citrus,-156.73501776,21.14357229
663,65dbb020-51f5-42bd-b308-50cdad24beca,4/23/2023 5:25:01 AM,,4/23/2023 5:25:01 AM,,Mary,,On the edge of the field,Multiple crops,vegetables_(e.g._leafy_greens_c,,,,,-156.73488975,21.14350617
664,3c057207-e681-4186-94c9-93a0445017c9,4/23/2023 5:25:05 AM,,4/23/2023 5:25:05 AM,,Mary,,On the edge of the field,Multiple crops,"mai`a_(banana),vegetables_(e.g._leafy_greens_c",,,,,-156.7349051,21.14325906
665,aa2f2e50-43cc-4956-856b-0b338431472c,4/23/2023 5:25:07 AM,,4/23/2023 5:25:07 AM,,Mary,,On the edge of the field,Multiple crops,"mai`a_(banana),tropical_fruits,vegetables_(e.g._leafy_greens_c",,mai`a (banana),,Papaya,-156.73492374,21.14314849
666,464ca48f-41a4-4f9f-8a16-bc53887a22b1,4/23/2023 5:25:11 AM,,4/23/2023 5:25:11 AM,,Mary,,On the edge of the field,Multiple crops,"`ulu_(breadfruit),mai`a_(banana),tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,,-156.73490474,21.14305239
667,5c5ec036-0214-4863-87f2-3856cbb069aa,4/23/2023 5:25:14 AM,,4/23/2023 5:25:14 AM,,Mary,,On the edge of the field,Multiple crops,"mai`a_(banana),tropical_fruits,vegetables_(e.g._leafy_greens_c",,,,Mango,-156.73491186,21.14297028
668,c4932418-0ea1-4364-959f-f35c4a9cdc85,4/23/2023 5:25:17 AM,,4/23/2023 5:25:17 AM,,Mary,,On the edge of the field,One crop,tropical_fruits,,,,Citrus,-156.73491783,21.14295863
669,6970f320-7930-432a-8e43-03731cd9ed21,4/23/2023 5:25:21 AM,,4/23/2023 5:25:21 AM,,Mary,,On the edge of the field,One crop,kalo_(taro)_-_mala_(dryland),,,,,-156.78061605,21.08512087
